Time,Temperature,Setpoint,Control_Signal
21.8,64.2806,75,100
21.9,64.4619,75,100
22,65.029,75,100
22.1,64.3208,75,100
22.2,64.6428,75,100
22.3,64.4721,75,100
22.4,64.7668,75,100
22.5,64.7737,75,100
22.6,64.4515,75,100
22.7,64.774,75,100
22.8,64.7115,75,100
22.9,65.0779,75,100
23,65.0707,75,100
23.1,64.986,75,100
23.2,65.2872,75,100
23.3,65.2868,75,100
23.4,65.2588,75,100
23.5,65.4164,75,100
23.6,65.4156,75,100
23.7,65.2538,75,100
23.8,65.2889,75,100
23.9,65.4091,75,100
24,65.5907,75,100
24.1,65.9228,75,100
24.2,65.6624,75,100
24.3,65.6629,75,100
24.4,65.6423,75,100
24.5,65.7915,75,100
24.6,65.5309,75,100
24.7,65.7311,75,100
24.8,65.8041,75,100
24.9,65.5044,75,100
25,65.8339,75,100
25.1,66.2056,75,100
25.2,66.196,75,100
25.3,65.867,75,100
25.4,65.882,75,100
25.5,66.3806,75,100
25.6,66.2332,75,100
25.7,65.7883,75,100
25.8,66.3944,75,100
25.9,66.4272,75,100
26,65.9253,75,100
26.1,66.477,75,100
26.2,66.8432,75,100
26.3,66.7635,75,100
26.4,66.366,75,100
26.5,66.8632,75,100
26.6,66.5841,75,100
26.7,66.5485,75,100
26.8,66.6607,75,100
26.9,66.6137,75,100
27,66.521,75,100
27.1,66.595,75,100
27.2,66.6866,75,100
27.3,66.8466,75,100
27.4,67.1669,75,100
27.5,67.0188,75,100
27.6,66.582,75,100
27.7,67.1534,75,100
27.8,67.1367,75,100
27.9,66.6753,75,100
28,67.1509,75,100
28.1,67.0235,75,100
28.2,67.1181,75,100
28.3,67.0855,75,100
28.4,67.1771,75,100
28.5,67.4047,75,100
28.6,66.731,75,100
28.7,67.5228,75,100
28.8,67.4266,75,100
28.9,67.5466,75,100
29,67.4383,75,100
29.1,67.2632,75,100
29.2,67.7025,75,100
29.3,67.8655,75,100
29.4,67.2771,75,100
29.5,67.2361,75,100
29.6,67.3705,75,100
29.7,67.712,75,100
29.8,67.2946,75,100
29.9,67.4167,75,100
30,67.6957,75,100
30.1,67.7354,75,100
30.2,67.8222,75,100
30.3,67.857,75,100
30.4,67.6075,75,100
30.5,67.7825,75,100
30.6,67.5607,75,100
30.7,67.504,75,100
30.8,67.9601,75,100
30.9,67.6333,75,100
31,67.9763,75,100
31.1,67.6975,75,100
31.2,67.824,75,100
31.3,67.9434,75,100
31.4,67.9861,75,100
31.5,67.9746,75,100
31.6,67.8538,75,100
31.7,68.0927,75,100
31.8,68.1918,75,100
31.9,67.9939,75,100
32,67.9512,75,100
32.1,68.1311,75,100
32.2,68.01,75,100
32.3,68.229,75,100
32.4,67.8774,75,100
32.5,68.0631,75,100
32.6,68.0504,75,100
32.7,68.0511,75,100
32.8,68.0566,75,100
32.9,67.9015,75,100
33,67.9961,75,100
33.1,68.1595,75,100
33.2,68.107,75,100
33.3,68.5711,75,100
33.4,68.6957,75,100
33.5,68.0517,75,100
33.6,68.4526,75,100
33.7,68.448,75,100
33.8,68.0979,75,100
33.9,68.5017,75,100
34,68.5551,75,100
34.1,68.5261,75,100
34.2,68.3036,75,100
34.3,68.2395,75,100
34.4,68.2603,75,100
34.5,68.4304,75,100
34.6,68.3726,75,100
34.7,68.186,75,100
34.8,68.4573,75,100
34.9,68.4234,75,100
35,68.3185,75,100
35.1,68.3703,75,100
35.2,68.7184,75,100
35.3,68.6831,75,100
35.4,68.4542,75,100
35.5,68.7739,75,100
35.6,68.3801,75,100
35.7,68.5244,75,100
35.8,68.6641,75,100
35.9,68.5597,75,100
36,68.2791,75,100
36.1,69.0096,75,100
36.2,68.6926,75,100
36.3,68.8336,75,100
36.4,68.8613,75,100
36.5,68.6899,75,100
36.6,68.7374,75,100
36.7,68.4812,75,100
36.8,68.7429,75,100
36.9,68.7573,75,100
37,68.6815,75,100
37.1,68.6871,75,100
37.2,69.0274,75,100
37.3,68.5328,75,100
37.4,68.8586,75,100
37.5,68.7672,75,100
37.6,68.8894,75,100
37.7,68.8083,75,100
37.8,68.7173,75,100
37.9,68.9576,75,100
38,68.9121,75,100
38.1,68.6719,75,100
38.2,68.9883,75,100
38.3,68.9554,75,100
38.4,68.851,75,100
38.5,68.7262,75,100
38.6,68.9331,75,100
38.7,69.1933,75,100
38.8,68.8945,75,100
38.9,68.9602,75,100
39,68.7539,75,100
39.1,68.7284,75,100
39.2,68.8461,75,100
39.3,68.9053,75,100
39.4,69.1308,75,100
39.5,68.9286,75,100
39.6,69.2774,75,100
39.7,69.0239,75,100
39.8,69.0873,75,100
39.9,69.0196,75,100
40,68.9357,75,100
40.1,69.0867,50,45.6236
40.2,68.8193,50,100
40.3,68.5138,50,100
40.4,68.6934,50,100
40.5,68.6877,50,100
40.6,68.9803,50,100
40.7,69.2885,50,100
40.8,68.9809,50,100
40.9,69.1651,50,100
41,68.9925,50,100
41.1,69.1766,50,100
41.2,68.8754,50,100
41.3,68.7819,50,100
41.4,69.1116,50,100
41.5,68.5488,50,100
41.6,68.9723,50,100
41.7,68.9438,50,100
41.8,69.1182,50,100
41.9,69.2389,50,100
42,68.7537,50,100
42.1,69.1129,50,100
42.2,69.5909,50,100
42.3,68.8081,50,100
42.4,68.9578,50,100
42.5,69.6278,50,100
42.6,69.2505,50,100
42.7,69.0168,50,100
42.8,69.0486,50,100
42.9,69.3926,50,100
43,69.2646,50,100
43.1,68.927,50,100
43.2,69.2549,50,100
43.3,69.1069,50,100
43.4,68.8883,50,100
43.5,69.4108,50,100
43.6,69.5296,50,100
43.7,69.0704,50,100
43.8,69.2874,50,100
43.9,69.1249,50,100
44,69.2953,50,100
44.1,69.1149,50,100
44.2,69.5047,50,100
44.3,69.3685,50,100
44.4,69.0728,50,100
44.5,68.8259,50,100
44.6,68.88,50,100
44.7,69.4674,50,100
44.8,69.5984,50,100
44.9,69.3855,50,100
45,69.049,50,100
45.1,69.1501,50,100
45.2,69.4644,50,100
45.3,69.2676,50,100
45.4,69.1726,50,100
45.5,69.0046,50,100
45.6,69.0617,50,100
45.7,69.1529,50,100
45.8,69.3142,50,100
45.9,69.4425,50,100
46,69.5813,50,100
46.1,69.3215,50,100
46.2,69.1893,50,100
46.3,69.3972,50,100
46.4,69.5289,50,100
46.5,69.6295,50,100
46.6,69.1062,50,100
46.7,68.9809,50,100
46.8,69.5201,50,100
46.9,69.3131,50,100
47,69.3056,50,100
47.1,69.4628,50,100
47.2,69.6959,50,100
47.3,69.5594,50,100
47.4,68.8514,50,100
47.5,69.3148,50,100
47.6,69.2538,50,100
47.7,69.3122,50,100
47.8,69.5589,50,100
47.9,69.3042,50,100
48,69.6448,50,100
48.1,69.3586,50,100
48.2,69.6593,50,100
48.3,69.2106,50,100
48.4,69.1999,50,100
48.5,69.4638,50,100
48.6,69.3901,50,100
48.7,69.4523,50,100
48.8,69.5437,50,100
48.9,69.5826,50,100
49,69.263,50,100
49.1,69.2996,50,100
49.2,69.689,50,100
49.3,69.6999,50,100
49.4,69.9268,50,100
49.5,69.6901,50,100
49.6,69.7228,50,100
49.7,69.6939,50,100
49.8,69.3457,50,100
49.9,69.9084,50,100
50,69.181,50,100
50.1,69.7167,50,100
50.2,69.7615,50,100
50.3,70.0238,50,100
50.4,69.6665,50,100
50.5,69.8277,50,100
50.6,69.6469,50,100
50.7,69.3579,50,100
50.8,69.4364,50,100
50.9,69.4114,50,100
